Kuerzel	Name	Beschreibung	Dauer	Kosten	Ziel	Zeit	Ziel	Probe1	Probe2	Probe3
SPELL_11	Duplicatus	Der Zaubernde erzeugt einen oder mehrere illusionäre Doppelgänger des Ziels, die sich synchron zu ihm bewegen und ständig mit ihm verschmelzen und sich wieder von ihm trennen.<br>	2 Aktionen	4 AsP pro Doppelgänger (bei Misslingen entsprechend 2 AsP)	Berührung	QS x 3 Kampfrunden	Lebewesen	KL	IN	CH
SPELL_12	Falkenauge	Der Verzauberte baut eine geistige Verbindung zu seinem Ziel auf. Hierdurch wird für den Verzauberten der nächste Fernkampfangriff auf dieses Ziel um QS des Zaubers erleichtert.	2 Aktionen	4 AsP	Berührung	Bis zum nächsten Schuss, maximal QS x 2 Kampfrunden	Lebewesen	MU	KL	IN
SPELL_13	Flim Flam	Der Zaubernde erzeugt eine kleine, schwebende Kugel aus Licht. Sie ist entweder stationär oder folgt dem Zaubernden. Dies muss er vor dem Zaubern festlegen, ebenso wie die Farbe des Lichtes. Die maximal erzeugbare Helligkeit variiert je nach QS. Der Zaubernde kann die Helligkeit jedoch nach Wunsch einmalig verringern. Die Zone des Lichts variiert je nach Helligkeit.	1 Aktion	2 AsP (Aktivierung des Zaubers) + 1 AsP pro Stunde	8 Schritt	aufrechterhaltend	Zone	MU	KL	CH
SPELL_14	Fulminictus	Der Verzauberte erleidet Schaden, der auf seine Aura einwirkt und eine Reihe kleiner innerer Verletzungen erzeugt. Er erleidet 2W6+(QS x 2) Trefferpunkte. Rüstungen schützen nicht vor diesem Zauber. Der Zauberspruch trifft sein Ziel automatisch. Der Gegner kann weder ausweichen noch parieren.	1 Aktion	8 AsP	8 Schritt	sofort	Lebewesen	KL	IN	KO
SPELL_15	Gardianum	Der Zauberspruch erschafft eine unsichtbare Kuppel um den Magier herum, die von außen kommende magische Angriffe absorbiert. Die Kuppel ist eigentlich eine Kugel, da jedoch der Magier meistens auf dem Boden steht, ist die Kugelform nicht so wichtig. Der Radius der Kuppel beträgt 3 Schritt, ihre Schildstärke die investierten AsP + QS x 3. Sie kann ihre Schildstärke in Trefferpunkten an Schaden absorbieren, die von Schaden verursachenden Zaubern erzeugt werden, hält jedoch weder magische Wesen noch magische Waffen ab. Fällt die Schildstärke unter 1, bricht die Kuppel zusammen. Schaden, der nicht mehr absorbiert werden kann, richtet Schaden an. Die Kuppel bewegt sich stets mit dem Zaubernden. Geschützt durch die Wirkung sind auch alle, die innerhalb der Kuppel stehen.	1 Aktion	Mindestens 4 AsP	selbst	5 Minuten	Zone	MU	KL	CH
SPELL_16	Große Gier	Der Verzauberte verspürt eine unbändige Gier nach einem Objekt oder einer Handlung, die der Zaubernde ihm nennt. Er wird alles ihm Mögliche tun, um dieses Ziel zu erreichen, solange er Leib und Leben damit nicht gefährdet. Er erhält eine Schlechte Eigenschaft *Gier nach …* für die Wirkungsdauer des Zauberspruchs.	2 Aktionen	8 AsP	Berührung	QS x 15 Minuten	Lebewesen	MU	IN	CH
SPELL_17	Harmlose Gestalt	Der Zaubernde nimmt die Gestalt einer unauffälligen Person wie eines Dieners oder eines Bettlers an, die an dem entsprechenden Ort nicht auffällt. Dies umfasst sowohl das Aussehen als auch die passende Stimme, jedoch nicht Kenntnisse wie Sprachen oder angemessenes Verhalten. Größere Gegenstände und Vertrautentiere werden nicht mit dem Zauberspruch verborgen. Der Zauberspruch wirkt intuitiv, daher kann die Hexe nicht explizit festlegen, welches Aussehen sie annimmt. Mehr zu Illusionen und wie man sie durchschaut siehe Seite **259**.	4 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 5 Minuten	selbst	aufrechterhaltend	Wesen	KL	IN	CH
SPELL_18	Hexengalle	Der Speichel der Hexe verwandelt sich diceAmountblicklich in ätzende Säure, die für die Hexe selbst jedoch harmlos ist. Der Speichel verursacht 1W6+(QS) Trefferpunkte an dem nächsten Ziel, das die Hexe anspuckt. Die Spuckreichweite beträgt 3 Schritt. Die Hexe muss keine zusätzliche Aktion aufwenden, um nach dem Wirken des Zaubers zu spucken. Das Spucken ist in der Zauberdauer inbegriffen. Die Spucke trifft automatisch, wenn der Gegner sich nicht verteidigt.<br>	1 Aktion	4 AsP	selbst	sofort	Wesen	KL	IN	KO
SPELL_19	Hexenkrallen	Der Hexe wachsen an beiden Händen scharfe Krallen. Sie verursacht damit 1W6+3 TP im Nahkampf und verwendet dafür die Kampftechnik Raufen. Die Hexe gilt damit weiterhin als unbewaffnet. Hexenkrallen gelten als magische Waffen.	1 Aktion	4 AsP	selbst	QS x 3 in Minuten	Wesen	KL	IN	KO
SPELL_20	Horriphobus	Dem Verzauberten gegenüber wirkt der Zaubernde wie eine Angst einflößende Gestalt aus seinen Alpträumen. Die Stärke dieses Eindrucks variiert mit der QS:	2 Aktionen	8 AsP	8 Schritt	QS x 3 Minuten	Lebewesen	MU	IN	CH
SPELL_21	Ignifaxius	Aus den Fingern des Zaubernden schießt einen Flammenstrahl, der in gerader Linie sein Ziel trifft. Der Magier muss keine zusätzliche Aktion aufwenden, um nach dem Wirken des Zaubers zu treffen. Das Treffen ist in der Zauberdauer inbegriffen.<br>	2 Aktionen	8 AsP	16 Schritt	sofort	alle	MU	KL	CH
SPELL_22	Invocatio Minima	Es manifestiert sich eine Handvoll Substanz aus den Niederhöllen. Meist handelt es sich um Schleim, Säure, schweflige Dämpfe oder flüssiges Feuer. Das genaue Ergebnis der Beschwörung lässt sich nicht beeinflussen. Der Zauberspruch gilt als einfacher und risikoarmer Übungszauber für Beschwörer (Insgesamt erscheint etwa eine Menge von 0,05 l pro QS).	4 Aktionen	4 AsP	1 Schritt	sofort	Objekt	MU	CH	KO
SPELL_23	KatzendiceAmount	Die Lichtempfindlichkeit der Augen des Zieles erhöht sich ungemein. So kann es auch in fast völliger Dunkelheit deutlich besser sehen.<br>	4 Aktionen	2 AsP (Aktivierung des Zaubers) + 1 AsP pro 10 Minuten	selbst	aufrechterhaltend	Wesen	KL	IN	KO
SPELL_24	Krötensprung	Der Verzauberte kann einmalig unnatürlich weit und hoch springen. Die Weite des Sprungs wird um QS + 3 in Schritt erhöht, die Höhe um QS. Mehr zu den Regeln des Springens siehe Seite **349**.	2 Aktionen	2 AsP	Berührung	sofort	Lebewesen	KL	IN	KO
SPELL_25	Manifesto	Es manifestiert sich eine Handvoll eines bestimmten Elements nach Wahl des Zaubernden. Es handelt sich um einfache Manifestationen wie eine kleine Flamme, einen Kieselstein oder ein Stück Eis. Elementaristen erlernen diesen Zauberspruch früh in ihrer Ausbildung, um die Grundzüge der Herbeirufung zu erlernen, ohne Elementare zu belästigen (Insgesamt erscheint etwa eine Menge von 0,05 l pro QS).	4 Aktionen	4 AsP	1 Schritt	sofort	Objekt	MU	KL	CH
SPELL_26	Manus Miracula	Der Zaubernde kann auf QS Schritt Distanz unbelebte Gegenstände verschieben, drehen, verformen und biegen, als würde er sie mit einer Hand ergreifen.<br>	2 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	selbst	aufrechterhaltend	Wesen	KL	FF	KK
SPELL_27	Motoricus	Der Zaubernde kann unbelebte Gegenstände telekinetisch anheben und bewegen. Sie bewegen sich mit einer Geschwindigkeit von maximal QS + 2 Schritt pro Aktion und dürfen maximal QS x 20 Stein wiegen. Pro 5 Stein Gewicht muss der Zaubernde dafür 1 AsP aufbringen. Befinden sich andere Objekte auf dem zu bewegenden Gegenstand, zählt deren Gewicht mit hinzu. Die Bewegungen des Objekts sind träge, weshalb sie für Angriffe oder Paraden ungeeignet sind. Um ein so bewegtes Objekt durch Festhalten oder Drücken aufzuhalten, ist eine um QS erschwerte Probe auf *Kraftakt (Ziehen & Zerren)* nötig.	2 Aktionen	mindestens 4 AsP (Aktivierung) + Hälfte der notwendigen AsP pro 5 Minuten	8 Schritt	aufrechterhaltend	Objekt	KL	FF	KK
SPELL_28	Nebelwand	Der Zaubernde erschafft eine Zone aus dichtem Nebel, der sich von Wind nicht fortwehen lässt. Je investiertem AsP kann er 200 Kubikmeter Nebel erschaffen (was etwa einer kleineren Hütte entspricht). Die Nebelwolke kann nach Belieben geformt werden, ob als kompakte Kugel, als lang gezogenes Band oder gar in Form eines Drachen. Der Nebel erzeugt einen Sichtmodifikator der Stufe 2.	2 Aktionen	Mindestens 4 AsP	16 Schritt	QS x 15 Minuten, danach verweht der Nebel	Zone	MU	KL	CH
SPELL_29	Oculus Illusionis	Mit diesem Illusionszauber ist die Täuschung des Sichtsinnes möglich. Es lassen sich bewegliche dreidimensionale Illusionen erzeugen, die sich rein auf Sicht auswirken. Details zum Thema Illusionen finden sich im Abschnitt **Illusionsregeln** auf Seite **259**.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	8 Schritt	aufrechterhaltend	Zone	KL	IN	CH
SPELL_30	Odem Arcanum	Mit diesem Zauberspruch lässt sich aktives magisches Wirken auf Gegenständen und Personen erkennen. Je nach Stärke der astralen Kräfte im Objekt kann die Probe erleichtert oder erschwert werden. Je nach QS können dabei nachfolgende Analysen mittels des Zaubers Analys beeinflusst werden.<br>	2 Aktionen	4 AsP	8 Schritt	1 Minute	Wesen, Objekt	KL	IN	IN
SPELL_31	Paralysis	Der Körper des Verzauberten versteift und verhärtet sich. Wird er vollständig paralysiert (Stufe IV), verwandelt sich sein Körper in eine unzerstörbare Substanz, ohne sein Gewicht zu verändern. Ein so versteinerter Körper ist durch gewöhnliche Waffen, Feuer oder Stürze nicht zu verletzen. Das Opfer kann sich nicht bewegen, fühlen oder hören, aber innerhalb seines Sichtfeldes sehen. Die Wirkung von Giften und Krankheiten kommt zum Stillstand.	2 Aktionen	8 AsP	8 Schritt	QS x 2 Minuten	Lebewesen	KL	IN	KO
SPELL_32	Penetrizzel	Der Zaubernde kann durch feste Materie blicken. Pro QS kann der Zaubernde 20 Halbfinger durchblicken. Magiestörendes Material kann die Probe erschweren (z.B. Eisen –1, Koschbasalt –4). Magische Objekte können nicht durchblickt werden. Herrscht auf der anderen Seite des Hindernisses Dunkelheit oder Nebel, wirkt sich dies ganz normal auf die Sicht des Zaubernden aus.	2 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro Minute	selbst	aufrechterhaltend	alle	MU	KL	IN
SPELL_33	Psychostabilis	Mittels dieses Zauberspruchs wird kurzfristig die Resistenz gegen geistige Beeinflussung gestärkt. Die Seelenkraft verbessert sich um QS/2.	8 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Lebewesen	KL	IN	FF
SPELL_34	Radau	Der Besen oder ein anderer Stab oder Stock nach Wahl des Zaubernden greift von sich aus einen von der Hexe bestimmten Gegner innerhalb von 8 Schritt an (nach dem Wirken des Zaubers können Ziel und Besen sich weiter entfernen). Er gilt während des Zaubers als unzerbrechlich und magisch und schlägt eine Attacke pro Runde zu. Er kann dabei keine Kampfmanöver ausführen. Seine Werte sind INI 12+1W6, AT 10+(QS), TP 1W6+3, GS 12. Sollte der Besen vor Ablauf der Wirkungsdauer den Gegner getötet haben oder keinen Gegner mehr vor sich haben, dann greift er ein weiteres zufälliges Opfer innerhalb von 16 Schritt an (eventuell auch die Hexe selbst). Ist kein Opfer in dieser Reichweite, endet der Zauber.<br>	2 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro Kampfrunde	16 Schritt	aufrechterhaltend	Objekt	KL	FF	KK
SPELL_35	Respondami	Der Verzauberte muss auf QS Fragen wahrheitsgemäß antworten. Die Fragen müssen mit Ja oder Nein zu beantworten sein. Auf andere Fragen kann der Verzauberte schweigen. Das Opfer ist sich während der Wirkung des Zaubers bewusst, was es sagt. Das Opfer muss die Sprache des Zauberers verstehen und sprechen können, ansonsten kann es ihm nicht antworten.	2 Aktionen	8 AsP	Berührung	QS x 15 in Minuten	Lebewesen	MU	IN	CH
SPELL_36	Salander	Mit diesem Zauberspruch wird ein Lebewesen in ein anderes, kleineres und leichteres Lebewesen verwandelt. Bei sehr massiven Änderungen (Mammut zu Maus) ist die Probe um bis zu 3 erschwert. Es kann nur in Lebewesen verwandelt werden, die dem Zaubernden bekannt sind.<br>	8 Aktionen	16 AsP	Berührung	QS x 3 in Stunden	Lebewesen	KL	IN	KO
SPELL_37	Sanftmut	Das verzauberte Tier wird friedfertig und lässt sich ohne Schwierigkeiten von dem Zauberer anfassen. Der Zauberspruch lässt sich nur auf Tiere anwenden.	2 Aktionen	4 AsP	8 Schritt	QS x 3 Minuten	Tiere	MU	IN	CH
SPELL_38	Satuarias Herrlichkeit	Der Zaubernde erzeugt subtile Veränderungen seines Körpers, die ihn begehrlicher wirken lassen. Haar und Teint werden verbessert, die Zähne aufgehellt und begradigt und die gesamte Statur dem gewünschten Schönheitsideal angepasst.Proben auf das Talent *Betören (Anbändeln, Liebeskünste)* und *Überreden (Schmeicheln)* sind um QS erleichtert. Je nach Situation können andere Gesellschaftstalente auf die gleiche Weise erleichtert werden. Auf Wesen mit anderem Schönheitsideal wirkt die Veränderung nicht.	4 Aktionen	8 AsP	selbst	QS x 3 in Stunden	Wesen	KL	IN	KO
SPELL_39	Silentium	Der Zaubernde erschafft eine kugelförmige Zone, in der keine Geräusche mehr übertragen werden. Der Radius der Zone beträgt QS x 3 in Schritt. Die Zone entsteht mit dem Zaubernden als Mittelpunkt. Er kann sich vor der Fertigkeitsprobe entscheiden, ob sie sich mit ihm mit bewegt oder an Ort und Stelle verbleiben soll.<br>	8 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	selbst	aufrechterhaltend	Zone	KL	FF	KK
SPELL_40	Somnigravis	Der Zauberspruch betäubt den Bezauberten. Erreicht er so *Betäubung* Stufe IV, schläft er ein und ist vor Ablauf der Wirkungsdauer nur durch großen Lärm, kräftiges Anstoßen oder Ähnliches zu wecken. Ungestört schläft er, bis er auf natürlichem Wege erwacht.	8 Aktionen	8 AsP	8 Schritt	QS x 3 in Minuten	Lebewesen	MU	IN	CH
SPELL_41	Spinnenlauf	Hände und Füße des Verzauberten erhalten die Eigenschaft, sich auch an den glattesten Oberflächen festsdiceAmount zu können. So kann er glatte Felswände und Mauern überwinden und an Decken Halt finden. Das Gewicht des Verzauberten ändert sich nicht. Daher kann es bei verputzten Wänden passieren, dass sich der Putz an Händen und Füßen unter der Belastung von der Mauer löst. Der Verzauberte muss sich mindestens mit drei Gliedmaßen festhalten. Für jeweils 2 QS kann es eine Gliedmaße weniger sein bis zu einem Minimum von einer Gliedmaße.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	selbst	aufrechterhaltend	Lebewesen	KL	IN	KO
SPELL_42	Spurlos	Der Zaubernde hinterlässt keine Spuren mehr. Er knickt keine Grashalme um und erzeugt keine Fußabdrücke auf weichem Boden. Selbst verräterische Gerüche hinterlässt er nicht. Um Spuren des Zaubernden zu finden oder zu verfolgen, sind Proben auf Fährtensuchen um QS erschwert.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	selbst	aufrechterhaltend	Wesen	KL	FF	KK
SPELL_43	Transversalis	Mittels dieses Zaubers kann ein Held sich und maximal QS x 5 Stein Gegenstände (Kleidung, Waffen usw.) an einen anderen Ort teleportieren. Je näher Gegenstände am Körper liegen (meist die Kleidung), desto eher reisen sie mit dem Zaubernden mit. Sie reisen entweder am Stück mit oder bleiben zurück, werden jedoch nicht zerteilt. Die exakte Auswahl trifft der Meister. Der Held muss schon einmal an dem Zielort des Zaubers gewesen sein oder ihn sehen können. Der Ort darf maximal QS x 3 Meilen vom Zaubernden entfernt sein. Wenn er ihn nur sieht, ist die Probe um 2 erschwert.	8 Aktionen	8 AsP + 1 AsP pro Meile	selbst	sofort	Objekt, Wesen	MU	CH	KO
SPELL_44	Visibili	Der Verzauberte wird innerhalb von 20 – (QS x 3) Kampfrunden unsichtbar.<br>	4 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 5 Minuten	Berührung	aufrechterhaltend	Lebewesen	KL	IN	KO
SPELL_45	Wasseratem	Der Verzauberte kann sowohl normale Luft als auch Wasser atmen. Er kann grundsätzlich 1 Minute pro QS unter Wasser atmen + je nach AsP-Einsatz.	8 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	Berührung	aufrechterhaltend	Lebewesen	KL	IN	KO
SPELL_46	Arcanovi	Details zur Verzauberung stehen im Abschnitt **Die Artefakte im Detail** ab Seite **266**.	8 Stunden	16 AsP	8 Schritt	sofort	geweihte Objekte, profane Objekte	KL	IN	FF
SPELL_47	Dschinnenruf	Ein Dschinn des gewünschten Elements erscheint. Details zur Herbeirufung und dem Umgang mit Dschinnen finden sich im Abschnitt **Die Kunst der Elementarherbeirufung** ab Seite **262**.	8 Stunden	32 AsP	8 Schritt	sofort	Elementare	MU	CH	KO
SPELL_48	Elementarer Diener	Ein Elementargeist des gewünschten Elements erscheint. Details zur Herbeirufung und dem Umgang mit Elementargeistern finden sich im Abschnitt **Die Kunst der Elementarherbeirufung** ab Seite **262**.	30 Minuten	16 AsP	8 Schritt	sofort	Elementare	MU	CH	KO
SPELL_49	Invocatio Maior	Ein zuvor ausgewählter gehörnter Dämon mit maximal fünf Hörnern erscheint. Die Ritualprobe ist um die Beschwörungsschwierigkeit des Dämons erschwert. Details zur Beschwörung und dem Umgang mit Dämonen finden sich im Abschnitt **Die Kunst der Dämonenbeschwörung***ab Seite **262**.	8 Stunden	32 AsP	8 Schritt	sofort	Dämonen	MU	CH	KO
SPELL_50	Invocatio Minor	Ein zuvor ausgewählter niederer Dämon erscheint. Die Ritualprobe ist um die Anrufungsschwierigkeit des Dämons erschwert. Details zur Beschwörung und dem Umgang mit Dämonen finden sich im Abschnitt **Die Kunst der Dämonenbeschwörung** ab Seite **262**.	30 Minuten	16 AsP	8 Schritt	sofort	Dämonen	MU	CH	KO
SPELL_51	Zauberklinge Geisterspeer	Mit diesem Ritual lassen sich arkane Kräfte in eine Waffe binden. Diese gilt dann als magische Waffe. Die Kosten des Rituals sind abhängig von der Größe der Waffe.<br>	8 Stunden	abhängig von der Waffe	8 Schritt	FP in Tage	Objekt	KL	IN	FF
SPELL_68	Ängste lindern	je nach QS können mit diesem Zauberspruch Stufen von *Furcht* diceAmountblicklich abgebaut werden. Die Wirkung ist nicht kumulativ, es gelten die Auswirkungen der höchsten QS.	4 Aktionen	8 AsP	Berührung	sofort	Kulturschaffende	MU	IN	CH
SPELL_69	Atemnot	Der Verzauberte leidet diceAmountblicklich unter Atemnot. Er erhält eine Stufe des Zustands *Betäubung*.	1 Aktion	4 AsP	8 Schritt	QS in Kampfrunden	Lebewesen	KL	CH	KO
SPELL_70	Attributo (Körperkraft)	Durch den Attributo (Körperkraft) kann der Zauberer ein Ziel stärker und zäher machen. Für jede QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt bei QS 3 hat der Träger insgesamt KK +2 und ZK +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	IN	KK
SPELL_71	Claudibus	Durch diesen Zauberspruch verschließen sich Schlösser automatisch und es wird schwerer, sie wieder zu öffnen oder zu knacken. Pro QS werden Proben auf *Schlösserknacken (Bartschlösser oder Kombinationsschlösser)* und *Kraftakt (Eintreten & Zertrümmern)* gegen das Schloss um 1 erschwert.	2 Aktionen	4 AsP	Berührung	30 Minuten	Objekte (Schlösser)	KL	IN	FF
SPELL_72	Corpofrigo	Der Corpofrigo erzeugt je nach QS Schaden und Stufen von *Paralyse*.	1 Aktion	8 AsP	16 Schritt	sofort	Lebewesen	KL	CH	KO
SPELL_73	Dunkelheit	Um den Zaubernden herum bildet sich eine Kugel aus Dunkelheit mit einem Durchmesser von QS x 2 in Schritt. Pro QS erschweren sich die Sichtverhältnisse um eine Stufe. Weder natürliche noch übernatürliche Lichtquellen können diese Dunkelheit erhellen.<br>	8 Aktionen	16 AsP (Aktivierung des Zaubers) + 8 AsP pro 5 Minuten	selbst	aufrechterhaltend	Zone	MU	KL	CH
SPELL_74	Ecliptifactus	Der Schatten des Zauberers wird durch diesen Zauberspruch belebt und kämpft für ihn. Mit dem Ecliptifactus kann der Magier immer nur einen Schatten heraufbeschwören. Erst nach Ablauf der Wirkungsdauer kann er den Zauber erneut wirken.<br>	2 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro Kampfrunde	selbst	aufrechterhaltend	Lebewesen	MU	IN	CH
SPELL_75	Große Verwirrung	Das Opfer dieses Druidenzaubers erleidet je nach QS unterschiedliche Stufen *Verwirrung*:	2 Aktionen	8 AsP	8 Schritt	QS x 3 Minuten	Lebewesen	MU	KL	CH
SPELL_76	Herr über das Tierreich	Der Druide kann mit diesem Zauberspruch ein Tier der Größenkategorie groß und kleiner beherrschen. Es hört auf jeden Befehl des Druiden und ist auch bereit, für ihn bis zum Tod zu kämpfen. Allerdings muss das Tier auch in der Lage sein, den Befehl auszuführen. Es muss ein Wesen der Kategorie domestiziertes Tier oder Wildtier sein (kein Ungeheuer). Auch Salz- oder Süßwassertiere kommen in Frage. Mit dem Zauberspruch kann stets nur ein einzelnes Wesen beherrscht werden. Solange die Wirkungsdauer anhält, kann der Druide also kein weiteres Tier durch den Zauberspruch beherrschen.	4 Aktionen	KL (t) des Tieres in AsP	8 Schritt	QS Tage	Tiere (domestizierte Tiere oder Wildtiere der Größenkategorie groß oder kleiner)	MU	IN	CH
SPELL_77	Hexenholz	Die Zaubernde kann hölzerne Gegenstände telekinetisch anheben und bewegen. Der Gegenstand kann auch andere Materialien beinhalten, die dann zum Gewicht dazu zählen, aber zumindest ein Teil muss aus Holz bestehen.<br>	1 Aktion	mindestens 4 AsP (Aktivierung) + Hälfte der Aktivierungskosten pro 5 Minuten	16 Schritt	aufrechterhaltend	Objekt (Holz)	KL	FF	KK
SPELL_78	Hexenknoten	Der Hexenknoten erzeugt eine imaginäre Barriere für alle Kulturschaffenden, die sich der Barriere bis auf 16 Schritt nähern. Jedes Opfer nimmt die Barriere anders war, z. B. als Abgrund oder Feuerwand. Auch wenn mehreren Opfern auffällt, dass sie jeweils etwas anderes wahrnehmen, können sie dieses Hindernis nicht überwinden. Die Hexe muss einen Mittelpunkt innerhalb der Reichweite des Zauberspruchs benennen. Von dort aus wirkt gradlinig eine Barriere, die QS x 2 Schritt lang ist. Den exakten Verlauf durch den Mittelpunkt kann die Hexe festlegen.<br>	4 Aktionen	16 AsP	16 Schritt	QS x 10 in KR	Zone	MU	IN	CH
